1,1,1,1,25,1,-,3628,305162,23348,1369
2,1,2,1,25,1,-,3663,308129,21206,1372
3,1,3,1,25,1,-,3676,309219,25064,1393
4,1,1,2,25,1,-,3833,322376,23294,1440
5,1,1,3,25,1,-,3684,309855,23348,1388
6,1,1,4,25,1,-,3381,284359,23348,1282
7,1,1,1,20,1,-,3361,282709,22972,1274
8,1,1,1,10,1,-,2832,238167,22219,1085
9,1,1,1,25,1,90,3598,302618,23355,1358
10,1,2,1,25,1,90,3632,305480,21213,1361
11,1,3,1,25,1,90,3646,306630,25070,1382
12,1,1,2,25,1,90,3810,320499,23301,1432
13,1,1,3,25,1,90,3656,307509,23355,1379
14,1,1,4,25,1,90,3368,283285,23355,1278
15,1,1,1,10,1,90,2826,237713,22222,1083
16,1,2,2,25,1,-,3861,324753,21152,1441
17,1,2,3,25,1,-,3713,312323,21206,1390
18,1,2,4,25,1,-,3399,285934,21206,1280
19,1,2,2,10,1,-,2942,247494,20056,1115
20,1,2,3,10,1,-,2870,241377,20077,1089
21,1,2,4,10,1,-,2769,232868,20077,1054
22,1,1,1,25,1,180,3629,305207,23350,1369
23,1,2,1,25,1,180,3664,308175,21208,1372
24,1,3,1,25,2,180,3248,273156,25066,1243
25,1,1,2,25,2,180,3427,288266,23296,1298
26,1,1,3,25,2,180,3273,275291,23350,1244
27,1,2,4,10,2,180,2683,225692,20078,1024
28,1,1,1,20,2,180,3045,256139,22973,1163
29,1,3,3,10,2,180,2769,232899,23936,1070
30,1,1,1,25,2,90,3206,269689,23355,1221
31,1,2,1,25,2,90,3229,271627,21213,1220
32,1,3,4,25,2,90,3096,260378,25070,1189
33,1,1,3,10,2,90,2743,230734,22222,1054
34,1,1,4,10,2,90,2682,225571,22222,1032
35,1,1,1,20,2,90,3044,256033,22977,1163
36,1,1,2,10,2,90,2819,237092,22201,1080
37,1,1,1,25,1,270,3612,303814,23355,1363
38,1,1,3,25,1,270,3671,308750,23355,1384
39,1,3,4,20,1,270,3205,269568,24683,1226
40,1,1,2,10,1,270,2933,246661,22201,1120
41,1,2,3,10,1,270,2870,241422,20080,1090
42,1,2,4,10,2,270,2685,225813,20080,1025
43,2,1,1,25,1,-,3518,295881,30776,1361
